doi,URL,Volume,Publication Number,Article Type,Version Number,Submission date,Prepub Checks With Authors,Author Revisions Received,Sent To Typesetters,Pdf Proofs To Authors,Published,Referee Report 1,Referee Report 2,Referee Report 3,Referee Report 4,Indexed,Referee Status,Article Length
10.12688/wellcomeopenres.11689.1,https://wellcomeopenresearch.org/articles/2-35/v1,2,35,DATA_NOTE,1,18/05/2017,18/05/2017,NA,NA,25/05/2017,26/05/2017,06/06/2017,13/06/2017,NA,NA,13/06/2017,"A2, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.11640.1,https://wellcomeopenresearch.org/articles/2-33/v1,2,33,SOFTWARE_TOOLS,1,12/05/2017,15/05/2017,NA,19/05/2017,22/05/2017,23/05/2017,05/06/2017,12/06/2017,NA,NA,12/06/2017,"A2, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.10724.1,https://wellcomeopenresearch.org/articles/2-34/v1,2,34,RESEARCH_ARTICLE,1,16/05/2017,17/05/2017,NA,22/05/2017,23/05/2017,25/05/2017,08/06/2017,19/06/2017,20/06/2017,NA,19/06/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11635.1,https://wellcomeopenresearch.org/articles/2-31/v1,2,31,SOFTWARE_TOOLS,1,10/05/2017,11/05/2017,12/05/2017,15/05/2017,16/05/2017,17/05/2017,30/05/2017,12/06/2017,NA,NA,29/06/2017,"A2, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.12051.1,https://wellcomeopenresearch.org/articles/2-59/v1,2,59,RESEARCH_ARTICLE,1,30/06/2017,07/07/2017,NA,26/07/2017,27/07/2017,28/07/2017,10/08/2017,29/08/2017,NA,NA,29/08/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9899.1,https://wellcomeopenresearch.org/articles/1-1/v1,1,1,RESEARCH_ARTICLE,1,18/10/2016,18/10/2016,NA,25/10/2016,28/10/2016,15/11/2016,05/12/2016,08/12/2016,12/12/2016,NA,12/12/2016,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9892.1,https://wellcomeopenresearch.org/articles/1-2/v1,1,2,METHOD_ARTICLE,1,17/10/2016,NA,20/10/2016,26/10/2016,27/10/2016,15/11/2016,22/11/2016,01/12/2016,06/12/2016,09/12/2016,01/12/2016,"A4, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9935.1,https://wellcomeopenresearch.org/articles/1-3/v1,1,3,RESEARCH_NOTE,1,19/10/2016,NA,20/10/2016,26/10/2016,27/10/2016,15/11/2016,28/11/2016,09/12/2016,NA,NA,17/02/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10005.1,https://wellcomeopenresearch.org/articles/1-7/v1,1,7,STUDY_PROTOCOL,1,25/10/2016,NA,26/10/2016,26/10/2016,31/10/2016,15/11/2016,21/12/2016,23/12/2016,16/01/2017,NA,23/12/2016,"A3, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.9968.1,https://wellcomeopenresearch.org/articles/1-8/v1,1,8,RESEARCH_ARTICLE,1,21/10/2016,NA,24/10/2016,25/10/2016,26/10/2016,15/11/2016,21/11/2016,22/11/2016,28/11/2016,09/12/2016,22/11/2016,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9876.1,https://wellcomeopenresearch.org/articles/1-4/v1,1,4,DATA_NOTE,1,17/10/2016,18/10/2016,NA,27/10/2016,28/10/2016,15/11/2016,12/12/2016,19/12/2016,NA,NA,19/12/2016,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9967.1,https://wellcomeopenresearch.org/articles/1-10/v1,1,10,RESEARCH_ARTICLE,1,21/10/2016,NA,21/10/2016,25/10/2016,26/10/2016,15/11/2016,18/11/2016,21/11/2016,12/12/2016,NA,12/12/2016,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9992.1,https://wellcomeopenresearch.org/articles/1-12/v1,1,12,DATA_NOTE,1,24/10/2016,27/10/2016,31/10/2016,01/11/2016,02/11/2016,15/11/2016,21/11/2016,24/11/2016,25/11/2016,28/11/2016,24/11/2016,"A4, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9961.1,https://wellcomeopenresearch.org/articles/1-11/v1,1,11,RESEARCH_ARTICLE,1,20/10/2016,24/10/2016,NA,04/11/2016,08/11/2016,15/11/2016,13/12/2016,16/12/2016,NA,NA,16/12/2016,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9952.1,https://wellcomeopenresearch.org/articles/1-9/v1,1,9,DATA_NOTE,1,20/10/2016,21/10/2016,NA,01/11/2016,02/11/2016,15/11/2016,24/11/2016,01/12/2016,05/12/2016,NA,05/12/2016,"A2, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.10011.1,https://wellcomeopenresearch.org/articles/1-13/v1,1,13,METHOD_ARTICLE,1,26/10/2016,NA,26/10/2016,27/10/2016,31/10/2016,15/11/2016,23/11/2016,28/11/2016,NA,NA,28/11/2016,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9869.1,https://wellcomeopenresearch.org/articles/1-15/v1,1,15,RESEARCH_ARTICLE,1,17/10/2016,19/10/2016,NA,26/10/2016,27/10/2016,15/11/2016,05/12/2016,05/12/2016,20/03/2017,NA,NA,"A1, AR1, NA1",WC_2500_8000
10.12688/wellcomeopenres.10042.1,https://wellcomeopenresearch.org/articles/1-16/v1,1,16,RESEARCH_NOTE,1,01/11/2016,01/11/2016,NA,07/11/2016,08/11/2016,16/11/2016,21/11/2016,02/12/2016,05/12/2016,NA,11/01/2017,"A3, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.11816.1,https://wellcomeopenresearch.org/articles/2-40/v1,2,40,METHOD_ARTICLE,1,31/05/2017,02/06/2017,NA,05/06/2017,06/06/2017,08/06/2017,16/06/2017,20/06/2017,20/06/2017,NA,20/06/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10036.1,https://wellcomeopenresearch.org/articles/1-18/v1,1,18,RESEARCH_ARTICLE,1,28/10/2016,31/10/2016,04/11/2016,07/11/2016,10/11/2016,18/11/2016,14/12/2016,15/12/2016,16/12/2016,19/12/2016,16/12/2016,"A4, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.12103.1,https://wellcomeopenresearch.org/articles/2-52/v1,2,52,RESEARCH_ARTICLE,1,05/07/2017,10/07/2017,NA,19/07/2017,20/07/2017,21/07/2017,04/08/2017,31/08/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11764.1,https://wellcomeopenresearch.org/articles/2-36/v1,2,36,RESEARCH_ARTICLE,1,25/05/2017,26/05/2017,30/05/2017,02/06/2017,05/06/2017,05/06/2017,06/06/2017,26/06/2017,NA,NA,17/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10658.2,https://wellcomeopenresearch.org/articles/2-13/v2,2,13,SYSTEMATIC_REVIEW,2,29/05/2017,NA,NA,31/05/2017,01/06/2017,02/06/2017,29/03/2017,11/05/2017,NA,NA,05/06/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11741.1,https://wellcomeopenresearch.org/articles/2-39/v1,2,39,RESEARCH_NOTE,1,23/05/2017,24/05/2017,NA,30/05/2017,31/05/2017,07/06/2017,08/06/2017,20/06/2017,NA,NA,28/07/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11768.1,https://wellcomeopenresearch.org/articles/2-44/v1,2,44,RESEARCH_ARTICLE,1,25/05/2017,30/05/2017,06/06/2017,09/06/2017,12/06/2017,20/06/2017,12/07/2017,17/07/2017,07/09/2017,NA,NA,"A0, AR3, NA0",WC_2500_8000
10.12688/wellcomeopenres.10038.1,https://wellcomeopenresearch.org/articles/1-19/v1,1,19,METHOD_ARTICLE,1,28/10/2016,01/11/2016,03/11/2016,04/11/2016,08/11/2016,23/11/2016,05/12/2016,05/12/2016,NA,NA,16/01/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11864.1,https://wellcomeopenresearch.org/articles/2-42/v1,2,42,RESEARCH_ARTICLE,1,07/06/2017,09/06/2017,NA,13/06/2017,15/06/2017,16/06/2017,29/06/2017,30/06/2017,NA,NA,30/06/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10069.1,https://wellcomeopenresearch.org/articles/1-20/v1,1,20,METHOD_ARTICLE,1,02/11/2016,04/11/2016,NA,22/11/2016,23/11/2016,25/11/2016,01/03/2017,12/04/2017,NA,NA,12/04/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11558.1,https://wellcomeopenresearch.org/articles/2-41/v1,2,41,RESEARCH_ARTICLE,1,03/05/2017,05/05/2017,NA,05/06/2017,06/06/2017,15/06/2017,25/07/2017,31/07/2017,07/08/2017,NA,07/08/2017,"A2, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.10105.2,https://wellcomeopenresearch.org/articles/1-30/v2,1,30,RESEARCH_NOTE,2,29/05/2017,NA,NA,31/05/2017,01/06/2017,14/06/2017,06/02/2017,31/03/2017,04/04/2017,06/04/2017,04/04/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10269.1,https://wellcomeopenresearch.org/articles/1-22/v1,1,22,RESEARCH_NOTE,1,16/11/2016,17/11/2016,17/11/2016,28/11/2016,30/11/2016,06/12/2016,08/12/2016,16/01/2017,NA,NA,16/01/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11635.2,https://wellcomeopenresearch.org/articles/2-31/v2,2,31,SOFTWARE_TOOLS,2,16/06/2017,NA,NA,16/06/2017,19/06/2017,21/06/2017,30/05/2017,12/06/2017,NA,NA,29/06/2017,"A2, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.10046.1,https://wellcomeopenresearch.org/articles/1-24/v1,1,24,METHOD_ARTICLE,1,01/11/2016,03/11/2016,NA,02/12/2016,05/12/2016,09/12/2016,23/12/2016,18/01/2017,13/03/2017,NA,13/03/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.10284.1,https://wellcomeopenresearch.org/articles/1-27/v1,1,27,RESEARCH_ARTICLE,1,18/11/2016,21/11/2016,NA,02/12/2016,05/12/2016,14/12/2016,23/12/2016,30/12/2016,03/01/2017,31/01/2017,03/01/2017,"A3, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10352.1,https://wellcomeopenresearch.org/articles/1-32/v1,1,32,RESEARCH_ARTICLE,1,28/11/2016,29/11/2016,NA,09/12/2016,20/12/2016,23/12/2016,15/02/2017,13/03/2017,NA,NA,NA,"A0, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.9964.1,https://wellcomeopenresearch.org/articles/1-29/v1,1,29,STUDY_PROTOCOL,1,21/10/2016,27/10/2016,03/11/2016,07/11/2016,08/11/2016,15/12/2016,03/01/2017,11/01/2017,NA,NA,11/01/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10415.1,https://wellcomeopenresearch.org/articles/2-3/v1,2,3,RESEARCH_ARTICLE,1,05/12/2016,23/12/2016,NA,04/01/2017,05/01/2017,09/01/2017,16/01/2017,23/01/2017,NA,NA,27/06/2017,"A2, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.10308.1,https://wellcomeopenresearch.org/articles/2-1/v1,2,1,RESEARCH_ARTICLE,1,21/11/2016,23/11/2016,NA,23/12/2016,28/12/2016,04/01/2017,20/01/2017,23/01/2017,14/02/2017,NA,14/02/2017,"A2, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.11958.1,https://wellcomeopenresearch.org/articles/2-47/v1,2,47,RESEARCH_ARTICLE,1,20/06/2017,21/06/2017,23/06/2017,28/06/2017,29/06/2017,03/07/2017,07/07/2017,14/08/2017,NA,NA,10/11/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10581.1,https://wellcomeopenresearch.org/articles/2-5/v1,2,5,RESEARCH_ARTICLE,1,27/12/2016,30/12/2016,NA,05/01/2017,09/01/2017,17/01/2017,30/01/2017,13/02/2017,20/02/2017,NA,20/02/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11741.2,https://wellcomeopenresearch.org/articles/2-39/v2,2,39,RESEARCH_NOTE,2,03/07/2017,NA,NA,03/07/2017,04/07/2017,05/07/2017,08/06/2017,20/06/2017,NA,NA,28/07/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10724.2,https://wellcomeopenresearch.org/articles/2-34/v2,2,34,RESEARCH_ARTICLE,2,20/06/2017,NA,NA,22/06/2017,23/06/2017,03/07/2017,08/06/2017,19/06/2017,20/06/2017,NA,19/06/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11896.1,https://wellcomeopenresearch.org/articles/2-45/v1,2,45,DATA_NOTE,1,16/06/2017,19/06/2017,NA,19/06/2017,20/06/2017,21/06/2017,29/06/2017,03/07/2017,NA,NA,03/07/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11483.1,https://wellcomeopenresearch.org/articles/2-46/v1,2,46,RESEARCH_NOTE,1,21/04/2017,24/04/2017,NA,31/05/2017,01/06/2017,22/06/2017,03/07/2017,06/07/2017,17/07/2017,NA,06/07/2017,"A3, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10333.1,https://wellcomeopenresearch.org/articles/1-21/v1,1,21,RESEARCH_ARTICLE,1,24/11/2016,24/11/2016,NA,30/11/2016,01/12/2016,06/12/2016,01/02/2017,23/02/2017,NA,NA,23/02/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11548.1,https://wellcomeopenresearch.org/articles/2-49/v1,2,49,METHOD_ARTICLE,1,06/06/2017,07/06/2017,27/06/2017,29/06/2017,30/06/2017,14/07/2017,28/07/2017,31/07/2017,NA,NA,NA,"A1, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.10213.1,https://wellcomeopenresearch.org/articles/1-28/v1,1,28,RESEARCH_ARTICLE,1,11/11/2016,15/11/2016,NA,07/12/2016,08/12/2016,14/12/2016,19/12/2016,30/01/2017,NA,NA,30/01/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10383.1,https://wellcomeopenresearch.org/articles/1-31/v1,1,31,STUDY_PROTOCOL,1,30/11/2016,01/12/2016,NA,05/12/2016,12/12/2016,16/12/2016,01/02/2017,06/03/2017,29/03/2017,NA,06/03/2017,"A3, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9967.2,https://wellcomeopenresearch.org/articles/1-10/v2,1,10,RESEARCH_ARTICLE,2,15/12/2016,NA,NA,19/12/2016,21/12/2016,23/12/2016,18/11/2016,21/11/2016,12/12/2016,NA,12/12/2016,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10105.1,https://wellcomeopenresearch.org/articles/1-30/v1,1,30,RESEARCH_NOTE,1,03/11/2016,08/11/2016,NA,01/12/2016,01/12/2016,15/12/2016,06/02/2017,31/03/2017,04/04/2017,06/04/2017,04/04/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11896.2,https://wellcomeopenresearch.org/articles/2-45/v2,2,45,DATA_NOTE,2,21/07/2017,NA,NA,21/07/2017,24/07/2017,24/07/2017,29/06/2017,03/07/2017,NA,NA,03/07/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12201.1,https://wellcomeopenresearch.org/articles/2-56/v1,2,56,SOFTWARE_TOOLS,1,19/07/2017,20/07/2017,20/07/2017,21/07/2017,25/07/2017,26/07/2017,07/08/2017,22/08/2017,NA,NA,22/08/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10331.1,https://wellcomeopenresearch.org/articles/1-33/v1,1,33,RESEARCH_ARTICLE,1,23/11/2016,25/11/2016,16/12/2016,22/12/2016,28/12/2016,29/12/2016,15/03/2017,09/05/2017,NA,NA,NA,"A0, AR0, NA2",WC_2500_8000
10.12688/wellcomeopenres.10210.1,https://wellcomeopenresearch.org/articles/1-25/v1,1,25,SOFTWARE_TOOLS,1,14/11/2016,15/11/2016,NA,02/12/2016,05/12/2016,12/12/2016,13/01/2017,17/01/2017,18/07/2017,NA,18/07/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12176.1,https://wellcomeopenresearch.org/articles/2-60/v1,2,60,RESEARCH_ARTICLE,1,17/07/2017,19/07/2017,NA,01/08/2017,02/08/2017,03/08/2017,29/08/2017,09/10/2017,NA,NA,27/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12199.1,https://wellcomeopenresearch.org/articles/2-67/v1,2,67,RESEARCH_ARTICLE,1,19/07/2017,21/07/2017,NA,17/08/2017,21/08/2017,22/08/2017,04/09/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12251.1,https://wellcomeopenresearch.org/articles/2-79/v1,2,79,RESEARCH_ARTICLE,1,30/07/2017,02/08/2017,NA,30/08/2017,31/08/2017,04/09/2017,21/09/2017,NA,NA,NA,NA,"A0, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11594.2,https://wellcomeopenresearch.org/articles/2-32/v2,2,32,RESEARCH_ARTICLE,2,10/07/2017,NA,NA,12/07/2017,13/07/2017,24/07/2017,09/06/2017,12/06/2017,12/06/2017,NA,12/06/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12133.1,https://wellcomeopenresearch.org/articles/2-55/v1,2,55,RESEARCH_ARTICLE,1,10/07/2017,13/07/2017,NA,19/07/2017,21/07/2017,24/07/2017,25/07/2017,28/09/2017,02/10/2017,NA,27/10/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11985.1,https://wellcomeopenresearch.org/articles/2-58/v1,2,58,STUDY_PROTOCOL,1,21/06/2017,22/06/2017,14/07/2017,20/07/2017,24/07/2017,28/07/2017,19/09/2017,25/10/2017,NA,NA,25/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10507.1,https://wellcomeopenresearch.org/articles/2-2/v1,2,2,RESEARCH_ARTICLE,1,15/12/2016,16/12/2016,NA,22/12/2016,23/12/2016,05/01/2017,16/01/2017,16/01/2017,19/01/2017,24/01/2017,19/01/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11926.1,https://wellcomeopenresearch.org/articles/2-54/v1,2,54,RESEARCH_ARTICLE,1,13/06/2017,14/06/2017,20/06/2017,14/07/2017,17/07/2017,21/07/2017,04/08/2017,07/08/2017,NA,NA,07/08/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11302.1,https://wellcomeopenresearch.org/articles/2-51/v1,2,51,RESEARCH_ARTICLE,1,28/03/2017,30/03/2017,31/05/2017,13/07/2017,14/07/2017,17/07/2017,12/09/2017,13/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11300.2,https://wellcomeopenresearch.org/articles/2-28/v2,2,28,RESEARCH_ARTICLE,2,11/07/2017,NA,NA,12/07/2017,NA,18/07/2017,06/06/2017,13/06/2017,NA,NA,26/07/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12187.1,https://wellcomeopenresearch.org/articles/2-57/v1,2,57,RESEARCH_ARTICLE,1,17/07/2017,17/07/2017,20/07/2017,24/07/2017,24/07/2017,26/07/2017,07/08/2017,11/08/2017,30/08/2017,NA,11/08/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10038.2,https://wellcomeopenresearch.org/articles/1-19/v2,1,19,METHOD_ARTICLE,2,22/12/2016,NA,NA,23/12/2016,28/12/2016,03/01/2017,05/12/2016,05/12/2016,NA,NA,16/01/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12171.1,https://wellcomeopenresearch.org/articles/2-61/v1,2,61,RESEARCH_ARTICLE,1,13/07/2017,18/07/2017,NA,04/08/2017,07/08/2017,10/08/2017,08/09/2017,15/09/2017,NA,NA,15/09/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10544.1,https://wellcomeopenresearch.org/articles/2-4/v1,2,4,RESEARCH_ARTICLE,1,21/12/2016,28/12/2016,NA,05/01/2017,10/01/2017,13/01/2017,03/02/2017,06/02/2017,09/02/2017,13/02/2017,NA,"A0, AR4, NA0",WC_2500_8000
10.12688/wellcomeopenres.10501.1,https://wellcomeopenresearch.org/articles/2-6/v1,2,6,SOFTWARE_TOOLS,1,14/12/2016,16/12/2016,NA,04/01/2017,05/01/2017,17/01/2017,31/01/2017,09/02/2017,17/02/2017,NA,17/02/2017,"A3, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12441.1,https://wellcomeopenresearch.org/articles/2-74/v1,2,74,DATA_NOTE,1,16/08/2017,18/08/2017,23/08/2017,24/08/2017,29/08/2017,30/08/2017,11/09/2017,18/09/2017,NA,NA,18/09/2017,"A2, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.10042.2,https://wellcomeopenresearch.org/articles/1-16/v2,1,16,RESEARCH_NOTE,2,03/01/2017,03/01/2017,NA,04/01/2017,05/01/2017,09/01/2017,21/11/2016,02/12/2016,05/12/2016,NA,11/01/2017,"A3, AR0, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.10299.1,https://wellcomeopenresearch.org/articles/1-26/v1,1,26,METHOD_ARTICLE,1,25/11/2016,28/11/2016,NA,08/12/2016,09/12/2016,13/12/2016,21/12/2016,05/01/2017,05/01/2017,11/01/2017,05/01/2017,"A3, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.9896.1,https://wellcomeopenresearch.org/articles/1-5/v1,1,5,METHOD_ARTICLE,1,18/10/2016,NA,20/10/2016,07/11/2016,08/11/2016,15/11/2016,28/11/2016,01/12/2016,19/12/2016,NA,01/12/2016,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12346.1,https://wellcomeopenresearch.org/articles/2-65/v1,2,65,SYSTEMATIC_REVIEW,1,05/08/2017,09/08/2017,11/08/2017,15/08/2017,16/08/2017,18/08/2017,24/08/2017,07/09/2017,03/10/2017,NA,07/09/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12357.1,https://wellcomeopenresearch.org/articles/2-66/v1,2,66,SYSTEMATIC_REVIEW,1,05/08/2017,09/08/2017,11/08/2017,15/08/2017,17/08/2017,18/08/2017,21/08/2017,04/09/2017,NA,NA,20/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12259.1,https://wellcomeopenresearch.org/articles/2-63/v1,2,63,RESEARCH_ARTICLE,1,27/07/2017,31/07/2017,NA,07/08/2017,10/08/2017,16/08/2017,06/09/2017,03/10/2017,NA,NA,03/10/2017,"A2, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.10784.2,https://wellcomeopenresearch.org/articles/2-10/v2,2,10,RESEARCH_ARTICLE,2,30/08/2017,NA,NA,31/08/2017,04/09/2017,08/09/2017,29/03/2017,11/04/2017,18/04/2017,19/06/2017,11/04/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12357.2,https://wellcomeopenresearch.org/articles/2-66/v2,2,66,SYSTEMATIC_REVIEW,2,26/09/2017,NA,NA,26/09/2017,28/09/2017,28/09/2017,21/08/2017,04/09/2017,NA,NA,20/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11253.2,https://wellcomeopenresearch.org/articles/2-25/v2,2,25,RESEARCH_ARTICLE,2,17/10/2017,NA,NA,17/10/2017,20/10/2017,23/10/2017,19/04/2017,20/04/2017,24/04/2017,02/05/2017,20/04/2017,"A4, AR0, NA0",WC_2500_8000
